frame,xmin,ymin,xmax,ymax,class,ts_sent,ts_recv,latency_ms
1478019963682173845.jpg,117,146,143,157,1,1750098572358,1750098572358,0
1478019963682173845.jpg,117.0,146.0,143.0,157.0,1,1750098572358,1750098572360,2
1478019963682173845.jpg,173,140,206,165,1,1750098572395,1750098572396,1
1478019963682173845.jpg,173.0,140.0,206.0,165.0,1,1750098572395,1750098572398,3
1478019963682173845.jpg,285,138,295,160,3,1750098572434,1750098572434,0
1478019963682173845.jpg,285.0,138.0,295.0,160.0,3,1750098572434,1750098572436,2
1478019963682173845.jpg,407,135,434,144,1,1750098572472,1750098572472,0
1478019963682173845.jpg,407.0,135.0,434.0,144.0,1,1750098572472,1750098572474,2
1478019964181479375.jpg,52,142,79,156,1,1750098572510,1750098572510,0
1478019964181479375.jpg,52.0,142.0,79.0,156.0,1,1750098572510,1750098572514,4
1478019964181479375.jpg,113,142,138,155,1,1750098572549,1750098572549,0
1478019964181479375.jpg,113.0,142.0,138.0,155.0,1,1750098572549,1750098572552,3
1478019964181479375.jpg,180,139,209,162,1,1750098572589,1750098572589,0
1478019964181479375.jpg,180.0,139.0,209.0,162.0,1,1750098572589,1750098572592,3
1478019964181479375.jpg,295,133,306,155,3,1750098572729,1750098572729,0
1478019964181479375.jpg,295.0,133.0,306.0,155.0,3,1750098572729,1750098572732,3
1478019964687995430.jpg,100,144,125,163,1,1750098572769,1750098572769,0
1478019964687995430.jpg,100.0,144.0,125.0,163.0,1,1750098572769,1750098572771,2
1478019964687995430.jpg,184,139,210,162,1,1750098572807,1750098572807,0
1478019964687995430.jpg,184.0,139.0,210.0,162.0,1,1750098572807,1750098572809,2
1478019964687995430.jpg,306,137,319,160,3,1750098572845,1750098572845,0
1478019964687995430.jpg,306.0,137.0,319.0,160.0,3,1750098572845,1750098572848,3
1478019965181415731.jpg,75,141,109,163,1,1750098572883,1750098572884,1
1478019965181415731.jpg,75.0,141.0,109.0,163.0,1,1750098572883,1750098572887,4
1478019965181415731.jpg,189,139,212,162,1,1750098572922,1750098572922,0
1478019965181415731.jpg,189.0,139.0,212.0,162.0,1,1750098572922,1750098572925,3
1478019965181415731.jpg,219,142,229,150,1,1750098572962,1750098572962,0
1478019965181415731.jpg,219.0,142.0,229.0,150.0,1,1750098572962,1750098572965,3
1478019965181415731.jpg,230,127,235,135,5,1750098573000,1750098573000,0
1478019965181415731.jpg,230.0,127.0,235.0,135.0,5,1750098573000,1750098573003,3
1478019965181415731.jpg,255,141,271,151,1,1750098573038,1750098573038,0
1478019965181415731.jpg,255.0,141.0,271.0,151.0,1,1750098573038,1750098573041,3
1478019965181415731.jpg,328,132,342,164,3,1750098573076,1750098573076,0
1478019965181415731.jpg,328.0,132.0,342.0,164.0,3,1750098573076,1750098573079,3
1478019965682301515.jpg,188,139,215,161,1,1750098573114,1750098573114,0
